q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
0.999999999458,0.24999999999999994,-3.67050658542e-09,-2.1572848954e-09,-2.913895740615042e-09,5.11e-05,,,0.9937350479750683,1.184610674783749,0.9700761442038461,2.8115000766281413,0.8820954511068027,2.898226178869263,3.187296877112826,3.09192066498257,0.686429826547,0.0,0.0,0.0,,0.39314021731318916,0.35899131282008057,0.951614826833,0.686429826547,-0.0010020515039892886,1.825677889652797e-05,1.0,0.39483117026017,0.359814402246418,0.9515839429347374,0.6863698784981955,0180,SXS
0.6666669867277306,0.24000002304437892,8.64427645114e-08,1.55363889098e-07,1.1401122228726712e-07,0.0004338,,,0.9939856269825766,1.137153488696035,0.9718324508023938,2.832178571162503,0.8842881620116709,2.914266310848247,3.2027778871534,3.1125634834480014,0.664090940995,0.0,0.0,0.0,,0.3758950010892091,0.3554121140971347,0.955269623847,0.664090940995,-0.0009667039194654725,0.0001,1.0,0.37645899179668163,0.35524236912035134,0.9552307175925973,0.664030731451419,0007,SXS
0.500000768680868,0.22222233610069422,2.49131120301e-07,5.29196403758e-07,3.4248631046698435e-07,0.0,,,0.9930250906820282,0.9554492692265966,0.9750139057784705,2.8732426480439845,0.8889673189371676,2.9468735071526293,3.2321127974413937,3.1513549225499116,0.623439030411,0.0,0.0,0.0,,0.34463205449476925,0.3471313914166103,0.961246130167,0.623439030411,-0.0008863702869142757,0.00015198051734697948,1.0,0.3445821419206705,0.34734350033849387,0.9612090691555474,0.6233945225492076,0169,SXS
0.3333340691452884,0.18750020694682684,2.89245176314e-07,5.03495783085e-07,3.4280791668378984e-07,0.0021213,,,0.9941604244379119,0.8086665932215475,0.9806572346360372,2.9577513476708908,0.8978364110102954,3.0160908859950806,3.2943098669195923,3.2305888041275788,0.5406441997,0.0,0.0,0.0,,0.28537077217893303,0.33179884746868993,0.971212971306,0.5406441997,-0.000684898221295247,0.00010859451627709228,1.0,0.28495543542788193,0.33276185204532766,0.9712481476613484,0.5405644201318822,0030,SXS
0.25000078775006923,0.16000030249558178,5.30633250376e-07,6.7025802519e-07,5.585582757319884e-07,0.0,,,0.9945679373923717,0.665486966929421,0.9845380655474177,3.020948725803468,0.9041101891385616,3.0683920018102864,3.341350160738522,3.289686423570058,0.471552600452,0.0,0.0,0.0,,0.24016657873202601,0.322171355198293,0.977919206362,0.471552600452,-0.0005532395906618275,0.00013422103472552347,1.0,0.23988564012190783,0.32200724626472915,0.9778947961545167,0.47162365894851516,0167,SXS
0.22222272950992625,0.1487605466805825,2.095393547e-07,2.92914154429e-07,2.2469843750935904e-07,2.67e-05,,,0.9956737242241651,0.6603998981069977,0.986060435006266,3.0504947621910317,0.9069483840540791,3.093618457748634,3.363471191773068,3.3165858664907955,0.442574290459,0.0,0.0,0.0,,0.22250571432685146,0.31708085152286003,0.980357699758,0.442574290459,-0.0005217142906828104,9.151462254379586e-05,1.0,0.22193892453243547,0.31781364184376837,0.9803247148781065,0.4425685252391267,0295,SXS
0.20000046689386705,0.13888910504326774,2.32159011654e-07,2.69647768421e-07,2.3840714993687764e-07,0.0004985,,,0.9959380521579301,0.6150649047635173,0.9873121943118817,3.0745167989117137,0.9092274698033292,3.11402696798912,3.3814605266784867,3.338557212573948,0.416614481622,0.0,0.0,0.0,,0.2066379892388326,0.3134057113036306,0.982368274666,0.416614481622,-0.0004597828520548554,0.000103319491729866,1.0,0.20638052867008783,0.3142272972279253,0.9823332543318976,0.4166193663221498,0056,SXS
0.18181867177344754,0.1301777576517036,2.51334069115e-07,3.07247729589e-07,2.599361903406858e-07,0.0,,,0.9960851760475606,0.5696428232636099,0.9883739516199821,3.095116875335305,0.9112101322986692,3.1315241263312252,3.3967103367555755,3.357220018047548,0.393370509765,0.0,0.0,0.0,,0.19299835010638555,0.3104254866914289,0.984048669933,0.393370509765,-0.0004271264744759766,8.141205596859801e-05,1.0,0.19279746410341628,0.3111375469440156,0.9840129021289009,0.393378158522162,0296,SXS
0.15384675638607512,0.11555588744309257,6.32855013315e-07,5.52357995811e-07,6.221220412169273e-07,0.0,,,0.9960470578086711,0.4790360521872213,0.9900466771007751,3.1285002002125606,0.9142943834364643,3.1599522250546537,3.4217646492082654,3.3877067207695424,0.353604317336,0.0,0.0,0.0,,0.17042552456116628,0.30674515124314894,0.986673799425,0.353604317336,-0.0003901471050935955,9.366536925825505e-05,1.0,0.17028187230110528,0.3061097871437362,0.9866458964997756,0.3536300812761472,0297,SXS
0.1428577403478149,0.10937534308995821,6.90401266281e-07,5.82383732422e-07,6.7689902513562e-07,0.0,,,0.9962105889404325,0.4510315079650833,0.9907385272470216,3.143753102285173,0.9157160557967868,3.1731410617701137,3.433109076098613,3.401313429932323,0.336515423989,0.0,0.0,0.0,,0.16089666090003166,0.30454178392164977,0.987714588983,0.336515423989,-0.00036010471907992655,9.390420824782403e-05,1.0,0.1608627226227494,0.3040442500082891,0.9876913309976969,0.33654362372874436,0298,SXS
