ID,q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,catalog,c2A_22_from_22_220_median,c2A_22_from_22_220_median_err,c3A_22_from_22_220_median,c3A_22_from_22_220_median_err,c2p_22_from_22_220_median,c2p_22_from_22_220_median_err,c3p_22_from_22_220_median,c3p_22_from_22_220_median_err,c4p_22_from_22_220_median,c4p_22_from_22_220_median_err
1260,0.7500000000000013,0.2448979591836735,0.0,0.0,0.0,0.14,,,0.98931638691787,0.911069149201078,0.971342607957471,2.827492469170488,0.8846590266519765,2.910911604213584,3.196138154912897,3.104545170785473,0.6759688971,0.0,0.0,0.0,75.17,0.3833682788962907,0.3614414768077267,0.9542565207,0.6759688971,-0.0011284571972201,0.001,1.0,0.385416566825435,0.3574701254265389,0.9534713184168964,0.6750187370840793,RIT,0.17901805177968294,0.05878812343954055,-3.1739611841232915,0.39582752306090313,0.15797133699642496,0.002944490724617584,3.626825518910783,0.12821711400137212,2.4900176236733307,0.3564161519671655
1217,0.4999999999999993,0.222222222222222,0.0,0.0,0.0,0.12,,,0.99052261465314,0.836623179099162,0.975472856054723,2.9046065388296576,0.8909814090240061,2.977639532254409,3.260008019708745,3.180049333746592,0.6242074112,0.0,0.0,0.0,147.84,0.3468691659580217,0.3336147445840478,0.9607354704,0.6242074112,-0.0006737393652107,0.001,1.0,0.3445819394768172,0.3473434123990122,0.9612091161354084,0.6233940746778821,RIT,0.21725381249875214,0.0021758694613945337,-2.368947597564456,0.03402949896998783,0.1603155923897736,0.0012105575592225644,3.5490311159016628,0.21055344805345336,1.2138749081130542,0.3083105988684857
1109,1.0,0.25,0.0,0.0,0.0,0.145,,,0.989033058557429,0.927254033498312,0.9700001164822232,2.802287328261783,0.8818004519510534,2.8889556615977363,3.1779155046490395,3.082578409680232,0.6854208418,0.0,0.0,0.0,0.0,0.3891658809744567,0.3618475394347771,0.9524194241,0.6854208418,-0.0011006794971241,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.17348961241257332,0.038964796845295344,-2.3583304692074907,0.20797612821045894,0.1580073315225323,0.0024290256130694602,3.3148414541735063,0.13366061836077278,1.6446784458997694,0.40225575147276244
1110,1.0,0.25,0.0,0.0,0.0,0.157,,,0.988891921934176,0.920723994267227,0.9691342745176568,2.792801564946779,0.8784424840897294,2.8817488333458967,3.1792651374788305,3.0811348125098244,0.6832662972,0.0,0.0,0.0,0.0,0.3891956785669325,0.3601454129075705,0.9514192921,0.6832662972,-0.0010976391824373,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.18182580424138717,0.021699792846988756,-3.628206242209422,0.2867910227711088,0.1584786617187669,0.0014446963211305125,3.4710696995969594,0.2022268321396921,1.4404144591728267,0.4140532331331105
1118,1.0,0.25,0.0,0.0,0.0,0.235,,,0.987973994315934,0.877094507446426,0.9682896093908478,2.7837281357019066,0.8751695353085613,2.874892086731317,3.180787291367996,3.07992328391409,0.6808873569,0.0,0.0,0.0,0.0,0.3901660545251276,0.3551534452610951,0.9505235866,0.6808873569,-0.0012676135187402,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,,,,,,,,,,
1202,0.4999999999999993,0.222222222222222,0.0,0.0,0.0,0.004,,,0.991736155009758,0.89005783164428,0.9748459449336698,2.8742588046329844,0.8882303867956441,2.9484236145933336,3.235938386438323,3.154541414074602,0.6234983168,0.0,0.0,0.0,147.42,0.3444401233693956,0.3495130327325171,0.9612641292,0.6234983168,-0.0009179636782874,0.001,1.0,0.3445819394768172,0.3473434123990122,0.9612091161354084,0.6233940746778821,RIT,0.18362850406677367,0.002668999104799194,-2.8694478219428863,0.1563678122731361,0.16362321038568556,0.002059678197314743,3.300649274884927,0.18780120575814244,1.3761749529303278,0.43065396874603695
1257,0.7500000000000013,0.2448979591836735,0.0,0.0,0.0,0.11,,,0.989662049949043,0.92682367381583,0.9710287516950952,2.8360672159185563,0.8834143747628418,2.92068304977347,3.2103475978415186,3.1173398204393976,0.6744929223,0.0,0.0,0.0,73.45,0.3847368954679735,0.3495284484237153,0.9529647434,0.6744929223,-0.0008589921731374,0.001,1.0,0.385416566825435,0.3574701254265389,0.9534713184168964,0.6750187370840793,RIT,0.20394105220315037,0.0020348974127144637,-2.04405397568292,0.034197257413710665,0.1614336488827614,0.001553901918070764,4.321414028372438,0.25922996852174657,2.1350105579312557,0.6296425019860991
1245,0.7500000000000013,0.2448979591836735,0.0,0.0,0.0,0.008,,,0.990836331022006,0.978493513822047,0.9706463187104012,2.817760883933163,0.881898313553193,2.9029738532123983,3.1951085977025238,3.1013203982399067,0.6749590578,0.0,0.0,0.0,73.02,0.3840018644772037,0.3563533053617504,0.9535114558,0.6749590578,-0.0010645076093214,0.001,1.0,0.385416566825435,0.3574701254265389,0.9534713184168964,0.6750187370840793,RIT,0.17536492128881748,0.04827031430985399,-2.645458897057964,0.3010380797362116,0.15199084969234655,0.001026503658404669,2.4876422944584067,0.1254948907328865,0.6867273530225336,0.15508333778812874
1354,0.7999999999999985,0.2469135802469135,0.0,0.0,0.0,0.36,0.2243436989923137,1.1848290086384523,0.993488849140537,1.06317248233889,0.9699486130668108,2.813601880416949,0.8801206317802154,2.900774167325033,3.1968366367300027,3.1007672619974347,0.6796296217,0.0,0.0,0.0,58.3,0.3911966157144358,0.3623922570140507,0.9518072297,0.6796296217,-0.0009265439215346,0.001,1.0,0.3891256046145102,0.3583933726890412,0.9527324493167656,0.6795146807490542,RIT,0.18526745723808502,0.034521529247505595,-3.6982751584902096,0.2913657969732615,0.151837457954403,0.003635687667751203,4.162997934238113,0.32407799491204287,5.304808371622432,0.1677435761848263
1293,1.0,0.25,0.0,0.0,0.0,0.4375,0.3638979090594643,5.815840945488542,0.992996625198657,1.00825485056045,0.971399927629474,2.838270356266193,0.8872356387970952,2.921835050155376,3.199003998660705,3.1075122527854075,0.6916352642,0.0,0.0,0.0,0.0,0.3998023636560142,0.359412633408084,0.9523627935,0.6916352642,-0.001151079170475,0.001,1.0,0.39483117025625,0.35981440246,0.9515839428556588,0.686369879389307,RIT,0.18597815094983028,0.0021384394233452853,-1.5176471352526266,0.04146481416012736,0.1542513589773349,0.0011234283425254727,3.089331342661,0.16049505261891756,1.0431984653083757,0.26366884826811243
