q,nu,chi1z,chi2z,chieff,ecc,ecc_gi,m_ano_gi,E0,J0,Emrg_til,Jmrg_til,Heff_til,b_massless,b_massless_Heff,b_massless_EOB,a_f,A_220,A_320,A_440,v_kick,A_peak22,omega_peak22,Mf,af,A_peak22dotdot,A_nr_error,v_kick_qc,A_peak22_qc,omega_peak22_qc,Mf_qc,af_qc,ID,catalog
1.0,0.25,0.0,0.0,0.0,0.18,,,0.988621332755378,0.908076841277966,0.9706658860628173,2.8548393169185147,0.8843845247322286,2.9411142988636585,3.2280520939496253,3.1333600460305457,0.689680798,0.0,0.0,0.0,0.0,0.40109414582408315,0.3571520500377545,0.9505746562,0.689680798,-0.0008845038386787745,0.005,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1113,RIT
0.6,0.23437499999999994,0.0,0.0,0.0,0.6975,,,0.992162599443122,0.693805725678242,0.9890661442420856,2.840501475719001,0.9536039203965996,2.87190244277915,2.9787015499450225,2.946132856852047,0.6446958806,0.0,0.0,0.0,149.71,0.3237012940536983,0.32676943610481146,0.9784618217,0.6446958806,-0.0014600812580182257,0.005,1.0,0.36626671098524083,0.35271135357968747,0.9571899292820022,0.6513011211070794,1409,RIT
0.3333333333333333,0.1875,0.0,0.0,0.0,0.6156,,,0.994048176972168,0.625199794756983,0.9899078837190041,3.148630775984193,0.9464469819974326,3.180731083941913,3.3267904445520586,3.2932160885431334,0.5674920264,0.0,0.0,0.0,197.09,0.2976766851386808,0.3352263575030392,0.9801048211,0.5674920264,-0.0013666267603783058,0.005,1.0,0.2849550865647949,0.33276172592,0.971248210181883,0.5405636817226854,1475,RIT
1.0,0.25,0.0,0.0,0.0,0.05,0.05407568002891239,2.1580099069051393,0.990149691440415,0.977411571810917,0.969938811810545,2.8110258621873134,0.8815625973129035,2.8981476232919134,3.188685489556407,3.092829814977867,0.6857028489,0.0,0.0,0.0,0.0,0.3920320482054093,0.35908827033983926,0.9516517268,0.6857028489,-0.001050754399319681,0.005,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1099,RIT
1.0,0.25,0.0,0.0,0.0,0.09,0.11027112387290994,3.5884274949100052,0.989679693100269,0.956613201514373,0.9699849634119363,2.8077574003720285,0.8817416584905109,2.894640129776549,3.1843311170969755,3.0887533021088003,0.6858794284,0.0,0.0,0.0,0.0,0.3913623615435971,0.365883721694388,0.9520351827,0.6858794284,-0.0011502770471945427,0.005,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1103,RIT
0.6,0.23437499999999994,0.0,0.0,0.0,0.19,0.06727857841308527,5.758971256874375,0.99465311821405,1.13531846020077,0.9730838693027574,2.858385838542505,0.8867033956207483,2.9374506439929178,3.2236098932963424,3.1368427880914536,0.6523605853,0.0,0.0,0.0,119.75,0.3686745587397515,0.34972562735879364,0.9571966337,0.6523605853,-0.0008926160309764809,0.005,1.0,0.36626671098524083,0.35271135357968747,0.9571899292820022,0.6513011211070794,1399,RIT
0.4999999999999993,0.22222222222222207,0.0,0.0,0.0,0.006,,,0.991715249282852,0.889163750221594,0.9751055951681126,2.8812559451341495,0.8893695738883579,2.9548142882283512,3.2396610247607054,3.159011591692225,0.6234977153,0.0,0.0,0.0,146.99,0.3441890634183298,0.34860964175726394,0.9612661971,0.6234977153,-0.0008246635937473746,0.005,1.0,0.34458193947681726,0.34734341239901223,0.9612091161354085,0.6233940746778821,1203,RIT
0.7500000000000013,0.24489795918367352,0.0,0.0,0.0,0.06,0.07031191941126191,1.1070724671670362,0.990237865624721,0.952502319443191,0.9711078276930983,2.8322580291616988,0.8837279265555671,2.9165227057121244,3.2048981864822985,3.112301715852375,0.6745695528,0.0,0.0,0.0,72.19,0.3841033839180678,0.35224227271901043,0.9532902758,0.6745695528,-0.0009068677468549857,0.005,1.0,0.38541656682543507,0.3574701254265389,0.9534713184168965,0.6750187370840793,1252,RIT
0.7000000000000002,0.24221453287197234,0.0,0.0,0.0,0.6156,,,0.99231658754873,0.808274404238456,0.984015637772498,3.0658916006779466,0.9345348434646844,3.115693981874273,3.2806605576219,3.228221290923393,0.7046768498,0.0,0.0,0.0,87.11,0.4133367220231368,0.36340769253714456,0.9631616509,0.7046768498,-0.0017553827063163225,0.005,1.0,0.38049934332302826,0.3562468440587541,0.9544415030841792,0.6690097871088613,1383,RIT
0.7500000000000013,0.24489795918367352,0.0,0.0,0.0,0.05,0.05414839541959471,2.5598156400258,0.990352985948374,0.957555417604895,0.9707173346471769,2.8177217914168424,0.88217979356006,2.9027212050776754,3.1940448103507917,3.100514665047368,0.6744114096,0.0,0.0,0.0,72.67,0.38290838180315023,0.3637364482037526,0.9536099837,0.6744114096,-0.0010404271300207216,0.005,1.0,0.38541656682543507,0.3574701254265389,0.9534713184168965,0.6750187370840793,1251,RIT
1.0,0.25,0.0,0.0,0.0,0.3,,,0.987208378409897,0.839005279763151,0.9759245538761684,2.989405134834632,0.9048574697167966,3.063151882961997,3.3037304049335634,3.224191621561921,0.7043995768,0.0,0.0,0.0,0.0,0.4223707956797874,0.35265838501581115,0.9517028262,0.7043995768,-0.0009175765920998504,0.005,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1124,RIT
0.7500000000000013,0.24489795918367352,0.0,0.0,0.0,0.25,,,0.988047824690011,0.8508103155156,0.9721001689706273,2.9012360898214054,0.8876649244634744,2.984503225520032,3.2683910447120357,3.177203486826655,0.6763982043,0.0,0.0,0.0,73.34,0.39643178236616605,0.3290618395476308,0.9509182913,0.6763982043,-0.0006775568380288338,0.005,1.0,0.38541656682543507,0.3574701254265389,0.9534713184168965,0.6750187370840793,1271,RIT
1.0,0.25,0.0,0.0,0.0,0.245,,,0.987856239916198,0.871343006021802,0.9690760951370405,2.8292874035549893,0.8782169563321087,2.919571969376553,3.2216269375753877,3.122001652653859,0.6846273603,0.0,0.0,0.0,0.0,0.3946704806642816,0.3551816187616126,0.9492572561,0.6846273603,-0.00039768041995986146,0.005,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1119,RIT
0.6,0.23437499999999994,0.0,0.0,0.0,0.4671,0.4169846786850988,5.886242594506563,0.993294055330374,0.920869417718417,0.9740586321109942,2.8579031186302624,0.8907524667518743,2.9340154939508856,3.208414486969198,3.1251838264223144,0.6552646155,0.0,0.0,0.0,110.1,0.36682371963152133,0.35990027957043935,0.9586668064,0.6552646155,-0.0010366464424670047,0.005,1.0,0.36626671098524083,0.35271135357968747,0.9571899292820022,0.6513011211070794,1402,RIT
0.3333333333333333,0.1875,0.0,0.0,0.0,0.7975,,,0.993332627983689,0.45377404458167,0.9926223843673836,2.3787552305381756,0.9607978611925061,2.396435208394177,2.475812370757939,2.45754677870801,0.440621524,0.0,0.0,0.0,112.77,0.19186304891020334,0.274427363130906,0.9898648355,0.440621524,-0.0008639281315631316,0.005,1.0,0.2849550865647949,0.33276172592,0.971248210181883,0.5405636817226854,1480,RIT
1.0,0.25,0.0,0.0,0.0,0.11,,,0.989444603605217,0.946042565433719,0.9703681940194201,2.8324304334295176,0.8832288639290218,2.918923405452046,3.206904290728816,3.1118779249876507,0.6861115053,0.0,0.0,0.0,0.0,0.3939847264028526,0.34863535904860044,0.9510239749,0.6861115053,-0.000783137144485965,0.005,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1105,RIT
1.0,0.25,0.0,0.0,0.0,0.006,,,0.990666446746757,0.999790178211425,0.9697646156989461,2.8088422336763084,0.8808868197234494,2.896416499638801,3.1886528107641934,3.0922426676281023,0.6863483955,0.0,0.0,0.0,0.0,0.39315926357338055,0.35734866179268465,0.9516065947,0.6863483955,-0.0011030581542025653,0.005,1.0,0.39483117025625,0.35981440246,0.9515839428556587,0.686369879389307,1093,RIT
